Date,Exchange_Close,Exchange_High,Exchange_Low,Exchange_Open,Brent_Close,Brent_High,Brent_Low,Brent_Open,Brent_Volume,Exchange_Change,Brent_Range,Year,Exchange_Return,Rolling_Volatility,Brent_Return,Brent_Return_Lag1
2023-02-10,459.9700012207031,459.9700012207031,458.989990234375,459.9700012207031,86.38999938964844,86.91000366210938,83.94000244140625,84.2300033569336,30882,0.0,2.970001220703125,2023,0.0001086880142400215,0.004123570183241692,0.02236685668222993,-0.006933792023538943
2023-02-13,458.989990234375,460.0199890136719,458.989990234375,458.989990234375,86.61000061035156,86.94999694824219,85.08999633789062,86.5999984741211,19426,0.0,1.8600006103515625,2023,-0.002130597612294949,0.0041602311484431045,0.002546605188765483,0.02236685668222993
2023-02-14,460.0199890136719,460.05999755859375,460.0199890136719,460.0199890136719,85.58000183105469,86.4000015258789,84.12000274658203,85.75,19585,0.0,2.279998779296875,2023,0.002244054992944333,0.004161615459758527,-0.011892377000789156,0.002546605188765483
2023-02-15,460.05999755859375,460.1000061035156,460.0,460.05999755859375,85.37999725341797,85.8499984741211,83.9000015258789,85.29000091552734,21161,0.0,1.9499969482421875,2023,8.697131837176464e-05,0.004164520256357115,-0.0023370480644713254,-0.011892377000789156
2023-02-16,460.0,460.05999755859375,460.0,460.05999755859375,85.13999938964844,86.19999694824219,84.5999984741211,85.13999938964844,20089,-0.05999755859375,1.5999984741210938,2023,-0.0001304124655743255,0.004168877331848928,-0.0028109378249004946,-0.0023370480644713254
2023-02-17,460.04998779296875,460.05999755859375,460.0,460.04998779296875,83.0,84.8499984741211,81.79000091552734,84.66999816894531,27191,0.0,3.05999755859375,2023,0.00010866911514950672,0.0041711787197878,-0.02513506465808857,-0.0028109378249004946
2023-02-21,460.04998779296875,460.04998779296875,459.9700012207031,460.04998779296875,83.05000305175781,84.29000091552734,82.54000091552734,83.01000213623047,31936,0.0,1.75,2023,0.0,0.0041736367569700835,0.0006024464067206914,-0.02513506465808857
2023-02-22,456.0,459.9700012207031,459.95001220703125,459.9700012207031,80.5999984741211,83.2300033569336,80.4000015258789,82.73999786376953,20309,-3.970001220703125,2.8300018310546875,2023,-0.008803364635217248,0.004526868237633586,-0.029500355058504235,0.0006024464067206914
2023-02-23,459.9700012207031,459.9700012207031,459.94000244140625,459.9700012207031,82.20999908447266,82.75,80.33999633789062,80.47000122070312,14474,0.0,2.410003662109375,2023,0.00870614302785766,0.004767387418623033,0.01997519405497883,-0.029500355058504235
2023-02-24,459.94000244140625,459.94000244140625,459.92999267578125,459.94000244140625,83.16000366210938,83.37999725341797,81.06999969482422,82.3499984741211,13365,0.0,2.30999755859375,2023,-6.521899084133143e-05,0.004768124256022294,0.01155582761484486,0.01997519405497883
2023-02-27,459.94000244140625,459.95001220703125,459.92999267578125,459.94000244140625,82.44999694824219,83.62999725341797,81.73999786376953,83.12000274658203,5691,0.0,1.8899993896484375,2023,0.0,0.004744195680335706,-0.008537838896112149,0.01155582761484486
2023-02-28,458.0,459.9700012207031,459.94000244140625,459.95001220703125,83.88999938964844,84.12000274658203,82.61000061035156,82.63999938964844,24882,-1.95001220703125,1.5100021362304688,2023,-0.0042179467563345785,0.0048254076211369954,0.017465160639244193,-0.008537838896112149
2023-03-01,459.9700012207031,459.9700012207031,459.9599914550781,459.9700012207031,84.30999755859375,84.48999786376953,82.61000061035156,83.0999984741211,26723,0.0,1.8799972534179688,2023,0.004301312708958838,0.0048748313294160826,0.005006534414126351,0.017465160639244193
2023-03-02,456.0,459.9700012207031,456.0,459.9700012207031,84.75,85.08999633789062,83.83999633789062,84.30999755859375,17997,-3.970001220703125,1.25,2023,-0.008631000304731296,0.005145729300093817,0.005218864359478381,0.005006534414126351
2023-03-03,458.0,459.9800109863281,458.0,459.9700012207031,85.83000183105469,86.0,82.36000061035156,84.41000366210938,27594,-1.970001220703125,3.6399993896484375,2023,0.004385964912280604,0.005201068137240499,0.01274338443722356,0.005218864359478381
2023-03-06,459.9599914550781,459.9599914550781,459.95001220703125,459.9599914550781,86.18000030517578,86.36000061035156,84.3499984741211,85.93000030517578,24587,0.0,2.0100021362304688,2023,0.0042794573254980595,0.004447776072381273,0.004077810400261006,0.01274338443722356
2023-03-07,459.9599914550781,459.9700012207031,457.0,459.9599914550781,83.29000091552734,86.76000213623047,82.6500015258789,86.2300033569336,26092,0.0,4.1100006103515625,2023,0.0,0.0038462811472256987,-0.0335344555513406,0.004077810400261006
2023-03-08,455.0,459.989990234375,455.0,459.9599914550781,82.66000366210938,83.58999633789062,82.05000305175781,82.9800033569336,23661,-4.959991455078125,1.5399932861328125,2023,-0.010783528018137534,0.004355244642596469,-0.0075639001860128285,-0.0335344555513406
2023-03-09,456.0,460.0199890136719,456.0,459.989990234375,81.58999633789062,84.01000213623047,81.41000366210938,82.62000274658203,25018,-3.989990234375,2.5999984741210938,2023,0.00219780219780219,0.004372990401645466,-0.012944680338905279,-0.0075639001860128285
2023-03-10,458.0,460.04998779296875,458.0,460.0199890136719,82.77999877929688,83.08000183105469,80.7300033569336,81.47000122070312,26753,-2.019989013671875,2.3499984741210938,2023,0.004385964912280604,0.003972769291033651,0.014585151303084576,-0.012944680338905279
